Frame,Keypoint,X_mm,Y_mm,Z_mm
44,1,-1437.01959889807,3887.08053139304,548.808407718116
44,2,-1431.72349320852,3902.34394727628,580.85007384047
44,3,-1419.06899804454,3909.66591233571,580.04061985099
44,4,-1411.20556737631,3918.7772229436,579.779343308864
44,5,-1463.74194113204,3892.52786656552,581.466017735122
44,6,-1477.27084425578,3892.42777658883,581.158748984144
44,7,-1491.79910335145,3893.48047661799,580.517174117876
44,8,-1418.7306012614,3950.28262380096,563.895695216713
44,9,-1524.95217599726,3899.93967160869,558.339016035985
44,10,-1422.14845676744,3907.51720551584,517.806149292045
44,11,-1464.40536543818,3892.83249352628,517.520573580931
44,12,-1362.23926237371,4058.14880335684,358.370334789389
44,13,-1612.14768321485,3872.48714607846,352.123043617269
44,14,-1332.13391777345,4103.17306658878,101.490554701191
44,15,-1660.51631178444,3835.78809405576,97.5310283182179
44,16,-1295.9522964333,4085.6595975767,-105.901963917895
44,17,-1670.53372584409,3808.09911986347,-129.413146127105
44,18,-1284.34049488266,4085.833113102,-177.933641899682
44,19,-1688.75470706612,3802.84187635697,-197.063420482695
44,20,-1289.50015862471,4064.0521753371,-177.948637579088
44,21,-1664.84065194548,3796.99277665423,-200.326821358229
44,22,-1302.40585660269,4056.47621760582,-154.012365039668
44,23,-1651.70627848944,3805.57299217242,-174.662752277621
44,24,-1397.97482354834,3994.20490934122,-98.0998403708033
44,25,-1542.80552980583,3882.42431759571,-91.9242308115982
44,26,-1386.96896342575,3939.89717263607,-457.96483694598
44,27,-1517.9765156156,3893.34232272118,-452.750143672139
44,28,-1559.82638349712,4137.68656608835,-764.357543734617
44,29,-1493.0553619581,3916.98822818064,-828.189260150373
44,30,-1618.17716256873,4198.59837667295,-800.731017931641
44,31,-1509.20730689715,3965.95137284238,-877.71286081358
44,32,-1523.63152531076,4084.23328203541,-892.588049130754
44,33,-1432.78489194612,3806.360349059,-903.484039435733
45,1,-1408.31875760087,3858.69158031441,547.689449225827
45,2,-1406.08396411263,3876.18244580472,579.926337023983
45,3,-1396.14278682057,3885.03914873663,579.814742864321
45,4,-1384.74181913774,3890.86273723863,578.748861963739
45,5,-1434.03275413394,3859.86669986455,579.282949669267
45,6,-1445.47927953675,3857.4644966307,578.765611328377
45,7,-1462.75513807103,3859.21406659512,578.543764918158
45,8,-1402.75868105117,3933.69031239902,565.055073946478
45,9,-1508.64620543752,3882.67996663848,559.869508022302
45,10,-1401.47308973498,3886.44823337574,517.513694208536
45,11,-1437.2734826085,3862.74563959114,516.668765007631
45,12,-1341.66190434589,4030.13653243771,357.222138075132
45,13,-1596.15839025314,3849.97172991091,354.976675952354
45,14,-1319.79174359511,4080.39626591153,102.496706943523
45,15,-1650.61349489998,3823.12422315644,104.435846140659
45,16,-1293.25901272806,4082.20419247158,-107.420363345693
45,17,-1606.10679573174,3748.20682105595,-120.740538102774
45,18,-1282.19658626352,4083.74765243587,-177.885769361677
45,19,-1601.6032940882,3725.72774296504,-191.246044746303
45,20,-1286.14893004963,4066.70125115032,-178.902120286553
45,21,-1578.27912766376,3724.59700804294,-191.452685956849
45,22,-1297.45082598434,4057.5226152095,-155.090659776464
45,23,-1571.18837409757,3737.07931834557,-165.658627122195
45,24,-1382.07870375943,3974.85661717572,-93.9146322253192
45,25,-1521.3238428945,3859.00342417894,-89.4466829851753
45,26,-1362.1950961834,3903.79655680154,-445.45905929685
45,27,-1507.1271491724,3883.3267715403,-452.787529442176
45,28,-1468.04258398568,4054.20790735305,-754.418085937726
45,29,-1492.88464788985,3915.54072971102,-827.025162452861
45,30,-1507.80706453879,4094.67430361862,-785.995938311225
45,31,-1506.50564908469,3958.75709398238,-870.663664385769
45,32,-1407.26225161321,3980.20931518236,-877.530146086581
45,33,-1430.15799497705,3804.36339065413,-904.907589027176
46,1,-1387.50335449729,3835.169940405,546.936088724071
46,2,-1386.57954863523,3855.99933008593,579.090242494268
46,3,-1375.94144546427,3864.10556725769,578.561374216902
46,4,-1364.86293907001,3870.31898654029,577.384226254901
46,5,-1412.66925066662,3835.62164400506,578.502994426725
46,6,-1423.30350218692,3832.54382460841,578.162491681817
46,7,-1441.09101278342,3834.26877336184,578.534272682412
46,8,-1382.30725606733,3913.80114193167,564.627251292964
46,9,-1490.78073679212,3863.14947509426,562.301938876802
46,10,-1381.74567499598,3862.80730261938,516.981387172691
46,11,-1415.1322049161,3834.51506524321,516.219424169847
46,12,-1317.90279641949,3999.99889534879,355.883818165775
46,13,-1574.36814569389,3821.16631448258,358.90465118438
46,14,-1307.51467693631,4060.68434359048,103.257202218997
46,15,-1603.74979043108,3770.21523035531,112.625869529797
46,16,-1289.2892057004,4075.27299911554,-108.322676358238
46,17,-1531.94799073196,3677.21929717347,-104.424968545489
46,18,-1279.52480230298,4080.24199048645,-178.157046576176
46,19,-1528.21307799227,3654.12751911644,-177.474903302655
46,20,-1283.76559048459,4064.86975876728,-179.797806589336
46,21,-1494.07497436343,3647.33459931602,-173.389417891819
46,22,-1295.01544286052,4055.28848219102,-156.137764561012
46,23,-1486.33296497047,3660.27494278973,-148.063254814836
46,24,-1355.47741123574,3935.0307284974,-86.6590443348585
46,25,-1495.57563091784,3826.83501062176,-86.0310992332093
46,26,-1330.8482283638,3858.37080239614,-436.02095862694
46,27,-1492.30769807436,3867.6446490715,-452.846177525412
46,28,-1413.04417196669,3981.27765101089,-785.308495520099
46,29,-1493.36839649539,3915.20899243979,-829.142882554178
46,30,-1458.13456403813,4029.41188151201,-835.280772273951
46,31,-1503.31203566886,3953.71246450023,-876.099635940358
46,32,-1336.4728297995,3889.04994913129,-889.273967165833
46,33,-1429.4282367571,3802.72530864231,-906.040530638548
47,1,-1359.53578275327,3805.02195813934,545.279845820151
47,2,-1355.69028000803,3822.93511731404,575.175101504777
47,3,-1346.6475515487,3831.69661954779,574.853131983123
47,4,-1340.38912178968,3842.41199961166,574.74983578352
47,5,-1382.91186571525,3802.80335918824,575.981226839758
47,6,-1397.68340664444,3803.38798051662,576.816311523786
47,7,-1412.57321891569,3801.02792803597,577.030819510358
47,8,-1361.88511561068,3889.43777771577,563.997323154313
47,9,-1468.10663097626,3835.48382945927,563.691410263309
47,10,-1357.04502610879,3834.11737607332,516.68683118709
47,11,-1391.04445490831,3807.69749333651,516.37263771139
47,12,-1307.24615732719,3984.42093297479,356.166549903229
47,13,-1561.66701857327,3806.88955625967,363.105067800016
47,14,-1295.91867296749,4044.01228609458,105.023095213861
47,15,-1560.39352083242,3716.32069700454,121.155287338735
47,16,-1281.99838178478,4066.03976505317,-107.973688547563
47,17,-1451.67429649665,3600.94449829522,-80.5405655825023
47,18,-1274.5070824205,4074.76373594478,-177.69666816638
47,19,-1437.25274273736,3566.9197579871,-155.181143643297
47,20,-1278.49435227579,4060.87841972128,-179.727510683862
47,21,-1409.99143490953,3571.06107188718,-144.905612916609
47,22,-1289.63288349094,4050.19776185063,-156.139057064188
47,23,-1407.37400712221,3588.60211056911,-123.014475126323
47,24,-1335.69787683046,3902.30052878334,-83.6090993722632
47,25,-1474.3709627564,3794.37873355299,-84.3614002315417
47,26,-1300.60027534968,3808.913916175,-430.55097770842
47,27,-1476.74410706455,3851.72410355093,-457.622005104066
47,28,-1355.16017045012,3892.81037765992,-804.834303905017
47,29,-1494.95848093105,3918.46830796158,-831.475792776604
47,30,-1406.36101955481,3957.16443505049,-864.209951179409
47,31,-1504.80870203547,3957.5747013034,-879.159767341908
47,32,-1252.23808092465,3764.18797693284,-886.947319863021
47,33,-1430.7592368603,3803.37409631834,-906.961304725929
48,1,-1341.58211661381,3781.92618210247,542.915277467377
48,2,-1333.16448412998,3796.6726845769,571.666198942735
48,3,-1324.79316876311,3805.01508768626,571.153184265727
48,4,-1317.15612498864,3814.72036686596,570.649046658552
48,5,-1361.62561631768,3776.67775984356,573.646693513129
48,6,-1376.39694298598,3775.61960943258,574.445779518634
48,7,-1388.93320328009,3769.72335113919,574.081247453785
48,8,-1332.47407781156,3855.32379977884,558.937579615356
48,9,-1439.71406505612,3800.96363416089,560.079950706884
48,10,-1338.01314326498,3809.34072464915,514.171275249018
48,11,-1373.55026139077,3784.1076756243,514.315048886304
48,12,-1289.33424756651,3959.40773659576,356.507903904922
48,13,-1542.40445725163,3785.37871905694,361.354164723941
48,14,-1275.12690920608,4017.72111759282,107.727740278104
48,15,-1533.54668378277,3686.42217938079,123.934166542181
48,16,-1264.64856879653,4048.26837688872,-106.40227150141
48,17,-1399.82988474181,3552.70745044247,-63.4675304496496
48,18,-1262.97073018275,4062.12419184752,-176.625238013774
48,19,-1379.12672301136,3514.43444604394,-134.252525082624
48,20,-1265.2271681497,4048.09631139585,-179.560212474051
48,21,-1349.06184008605,3514.16021157554,-123.188854631225
48,22,-1274.60164692369,4035.85954455764,-155.882251316707
48,23,-1353.89926148996,3537.3549403668,-103.340095617697
48,24,-1308.65514268727,3862.65113901952,-82.4036872957232
48,25,-1451.49413497466,3762.70453959436,-83.6339866498493
48,26,-1286.91827575619,3775.5126415272,-428.060948349384
48,27,-1466.88064377043,3840.20444922934,-458.340534349836
48,28,-1270.75385351835,3765.37095646236,-811.465522693745
48,29,-1495.1439505413,3918.19892545478,-835.585926904134
48,30,-1313.05120693524,3819.66942481296,-867.78655388864
48,31,-1505.29278006603,3958.22131163822,-883.55443226511
48,32,-1172.20262182192,3648.37126003201,-881.527714827364
48,33,-1429.68284324408,3799.17801439279,-908.622674644196
49,1,-1310.38913053587,3737.53403618696,539.486516863517
49,2,-1308.4693032876,3762.83307321164,570.26948341332
49,3,-1300.10453175034,3770.86711181701,569.809498307004
49,4,-1291.87876474563,3779.64060466508,569.469687207176
49,5,-1335.022361054,3740.4464982398,571.206726852999
49,6,-1346.23440166705,3735.67966765067,571.023745584501
49,7,-1359.86238232215,3732.83765821698,570.685424631246
49,8,-1306.83849939462,3824.71854283617,558.437449880721
49,9,-1406.71271730634,3765.96616473274,556.393436692556
49,10,-1308.66707255511,3771.66587219622,512.056455157468
49,11,-1340.93323297665,3740.52640571724,510.527397923031
49,12,-1259.41336220472,3928.05944404996,361.036801340396
49,13,-1487.75604548749,3732.52801927991,361.038148701482
49,14,-1274.8461325602,4017.20736833426,113.53626289211
49,15,-1485.62789791723,3637.90778353,132.067178156399
49,16,-1256.09698967109,4036.18007370627,-101.801978666035
49,17,-1335.85102203498,3491.11488589245,-46.8229769480766
49,18,-1261.20917112678,4058.24387341192,-170.400320887631
49,19,-1303.26500731947,3445.62408034219,-113.864527706679
49,20,-1260.28651247412,4039.25584871794,-175.570567211304
49,21,-1269.78302446845,3447.67051979205,-106.037751580893
49,22,-1265.06478374379,4021.24600917435,-150.480280068069
49,23,-1279.10691977754,3473.53716861859,-86.5172300183256
49,24,-1292.86301973157,3839.32139483033,-87.8411802356824
49,25,-1434.65927184959,3741.05788275455,-85.9797942817331
49,26,-1263.36672842737,3740.31706746254,-441.055937445456
49,27,-1461.78980664926,3831.38153781526,-463.356153942425
49,28,-1208.14697851641,3676.23818982221,-820.8258905949
49,29,-1494.86055853359,3920.01947395057,-839.31425517808
49,30,-1240.24745997282,3718.91189349595,-875.976970113935
49,31,-1508.04083480935,3965.3382367492,-886.163168011176
49,32,-1104.77257272757,3540.79481824419,-876.813465420503
49,33,-1429.83921367599,3799.36824353669,-911.304393363887
50,1,-1279.2543492171,3705.13922398513,536.780845027642
50,2,-1276.84540028977,3729.76347766943,568.175470876686
50,3,-1268.23338705313,3738.36806525254,567.937404940063
50,4,-1260.31084971373,3747.45527609303,567.807545254009
50,5,-1304.82771696119,3708.825011244,569.390869524015
50,6,-1315.53991667159,3703.14447464175,569.169279912443
50,7,-1329.54082540634,3701.13263207299,568.944824570724
50,8,-1276.56480295945,3792.8861866913,556.845504014469
50,9,-1375.07469579606,3732.46530471435,554.381860296202
50,10,-1277.93220634617,3740.73766290462,509.620666941319
50,11,-1307.56746607321,3704.7980658698,507.678326923066
50,12,-1235.76210822155,3901.42924407304,365.729128038849
50,13,-1450.04694366126,3692.36522671741,362.140884745262
50,14,-1242.3029846875,3980.27018192391,116.000532941823
50,15,-1452.7692341087,3599.04534447745,137.338147558362
50,16,-1231.09945796677,4007.00286962865,-99.7200027020657
50,17,-1297.59482661228,3453.47886815461,-36.5648112670144
50,18,-1238.72067987374,4033.53430889997,-169.04497799244
50,19,-1262.7920229997,3403.89733279826,-104.768017396155
50,20,-1239.93370140965,4017.75352971014,-174.573761054165
50,21,-1239.31673901829,3420.15672795359,-96.1042737121401
50,22,-1243.87902536438,3998.2403846016,-149.045360169664
50,23,-1249.8706947138,3447.2997284974,-74.8324454816636
50,24,-1268.49058742257,3803.75138375958,-92.4931535330031
50,25,-1405.62627288683,3702.2691768215,-86.9943485385211
50,26,-1243.29374283107,3712.30771098163,-448.370352599012
50,27,-1426.95089023259,3787.73397088318,-460.210943212073
50,28,-1184.29687619167,3636.06930097878,-824.133355850958
50,29,-1492.32617841624,3918.90959168423,-838.816509046507
50,30,-1211.25132024025,3667.65158443232,-875.011383787291
50,31,-1512.85321176565,3975.62531083697,-886.782043979695
50,32,-1092.08991607369,3513.18772739635,-881.459045852178
50,33,-1417.26498049513,3793.18632814111,-915.599050013233
51,1,-1243.79470051135,3665.27984339299,532.678746021719
51,2,-1245.82843455832,3696.09700764862,565.292125842781
51,3,-1237.4124313151,3704.85054715407,564.855972735982
51,4,-1230.35735336101,3714.2063010085,564.427391468856
51,5,-1273.74929048963,3675.94828851595,566.787172727109
51,6,-1284.85545267658,3671.07973283514,566.697189340531
51,7,-1299.64015027159,3670.43307016187,566.66877810712
51,8,-1246.83714511047,3763.74389751271,552.880774085777
51,9,-1344.28498546492,3703.20657806036,552.226208394127
51,10,-1241.39918779163,3699.96867713185,504.794108718479
51,11,-1273.16633831593,3667.99103593558,503.175007370228
51,12,-1198.58865465629,3864.88418601878,361.024300642403
51,13,-1421.69007534421,3659.75844550036,357.123789152655
51,14,-1210.7431549049,3947.69916719427,114.542535071126
51,15,-1427.86500045864,3570.49467726837,135.99179001714
51,16,-1201.79332288611,3973.06307668907,-99.3798342068175
51,17,-1271.52614348238,3430.87733673608,-39.4854199279485
51,18,-1218.06803412445,4010.18205439695,-168.451112450462
51,19,-1232.55374204301,3377.83603907892,-104.498947047196
51,20,-1214.48678589141,3991.01505858853,-174.358359918379
51,21,-1210.60155421134,3395.07054887181,-97.440783338159
51,22,-1213.34197878562,3966.26627861645,-148.998935080599
51,23,-1222.71117985038,3423.56946306595,-77.7483316425646
51,24,-1231.65317597377,3772.26125221158,-95.3294809164577
51,25,-1373.49098445072,3672.03065671136,-87.6536111916109
51,26,-1212.82715752402,3682.07575707768,-453.392240682845
51,27,-1402.284441974,3757.0755744369,-456.905141913262
51,28,-1174.35791831017,3631.25926027035,-832.318067791199
51,29,-1488.10085483511,3916.16029103858,-837.625685600986
51,30,-1205.07200131742,3669.85389266498,-884.861271336973
51,31,-1515.9178339428,3983.01085587321,-889.130881749077
51,32,-1078.16335834327,3495.89688696537,-892.503122292608
51,33,-1410.43529715563,3785.45054540796,-915.827935418226
52,1,-1208.83816693738,3631.63442495109,537.297569093355
52,2,-1213.18260353744,3665.10075239579,570.376103668195
52,3,-1204.89914921209,3673.88660523526,569.790705004867
52,4,-1198.83403179584,3684.58951333491,569.661537367389
52,5,-1240.01125824966,3643.68388772991,571.591066684393
